text,chunk_tags,pos_tags,ner_tags
客戶 編號 數量,NR NN NR,PROPN,1 2 3
城市 不為Oregon 成本 和 利潤,NN AD NN CC NR,PROPN,1 5 1 3 1 
單位 價格 和 成本 和 利潤,NN NN CC NN CC NR,PROPN,1 2 3 1 3 1 
是 會員 客戶 編號,VC NN NN NN,NOUN,5 1 1 2 
各 產品 的 客戶 編號,DT NN DEC NN NN,NOUN,3 1 0 1 2
Clothing 事件 的 數量,NR NN DEC NR,PROPN,5 1 0 1
Clothing 類別 的 成本 和 利潤,NR NN DEG NN CC NR,PROPN,5 6 3 1 3 1
城市 為Oregon 和 US 在 Bikes 和 Clothing 的 數量,NN CC CC NR P NR CC NR DEG NR,PROPN,1 5 3 5 0 5 3 5 0 3
單位 價格 大於 等於 500 國家 和 產品 的 成本 和 利潤,NR NR VV NR CD NN CC NR DEG NN CC NR,PROPN,1 2 3 4 5 1 3 1 0 1 3 1
的 單位 價格 和 成本 和 利潤,DEG NN NN CC NN CC NR,PROPN,0 1 2 3 1 3 1 
城市 不是 Oregon,NN AD NN,NOUN,1 3 5 
城市 不為Oregon 特徵 欄位 平均,NN JJ NN NN AD,ADV,1 5 1 2 3
單位 成本 小於 500 成本 和 利潤 平均,NN NN NN CD NN CC NN AD,ADV,1 2 5 5 1 3 1 3
單位 成本 小於 500 單位 價格 和 成本 和 利潤 平均,NN NN NN CD NN NN CC NN CC NN AD,ADV,1 2 5 5 1 2 3 1 3 1 3
Clothing 類別 平均,NR NN AD,ADV,5 1 3 
城市 為Oregon 各 布林 的 客戶 編號 平均,NN AD DT NN DEC NN NN AD,ADV,1 5 3 1 0 1 2 3
城市 不為Oregon 是 Washington 的 數量 平均,NN AD VC NR DEG NR AD,ADV,1 5 5 5 0 1 3
Washington 和 California 的 成本 和 利潤 平均,NR CC NR DEG NN CC NN AD,ADV,5 3 5 0 1 3 1 3
城市 為Oregon 各 事件 的 客戶 編號 的 特徵 欄位 平均,NN JJ DT NN DEC NN NN DEG NN NN AD,ADV,1 5 3 1 0 1 2 0 1 2 3
城市 為Oregon 各 產品 的 客戶 編號 的 成本 和 利潤 平均,NN JJ DT NN DEC NN NN DEG NN CC NN AD,ADV,1 5 3 1 0 1 2 0 1 3 1 3 
的 單位 價格 和 成本 和 利潤 平均,DEG NN NN CC NN CC NN AD,ADV,0 1 2 3 1 3 1 3
單位 價格 大於 400 平均,NN NR VV CD NN,NOUN,1 2 3 5 3 
客戶 編號 數量 前 十 名,NR NN NR DT CD M,NUM,1 2 3 5 6 6 
城市 不是 Oregon 成本 和 利潤 前 十 名,NN VC NN NN CC NR DT CD M,NUM,1 3 5 1 3 1 5 6 6 
單位 價格 和 成本 和 利潤 前 十 名,NN NN CC NN CC NR DT CD M,NUM,1 2 3 1 3 1 5 6 6 
客戶 編號 前 十 名,NN NN DT CD M,NUM,1 2 5 6 6 
城市 不為Oregon 各 類別 的 客戶 編號 前 十 名,NN AD DT NN DEC NN NN DT CD M,NUM,1 5 3 1 0 1 2 5 6 6
是 Washington 的 數量 前 十 名,VC NR DEG NR DT CD M,NUM,3 5 0 1 3 5 6 6
產品 的 成本 和 利潤 前 十 名,NR DEG NN CC NR DT CD M,NUM,1 0 1 3 1 5 6 6
各 產品 的 客戶 編號 的 數量 前 十 名,DT NN DEG NN NN DEC NR DT CD M,NUM,3 1 0 1 2 0 1 5 6 6 
城市 為Oregon 國家 和 產品 的 成本 和 利潤 前 十 名,NN JJ NN CC NR DEG NN CC NR DT CD M,NUM,1 5 1 3 1 0 1 3 1 5 6 6
是 會員 的 單位 價格 和 成本 和 利潤 前 十 名,VC NN DEG NN NN CC NN CC NR DT CD M,NUM,3 1 0 1 2 3 1 3 1 5 6 6
城市 不是 Oregon 前 十 名,NN AD NR DT CD M,NUM,1 3 5 5 6 6
特徵 欄位 平均 前 十 名,NN NN NN DT CD M,NUM,1 2 3 5 6 6 
成本 和 利潤 平均 前 十 名,NN CC NN NN DT CD M,NUM,1 3 1 3 5 6 6 
Clothing 單位 價格 和 成本 和 利潤 平均 前 十 名,NR NN NR CC NN CC NN NN DT CD M,NUM,5 1 2 3 1 3 1 3 5 6 6 
是 Washington 平均 前 十 名,VC NR NN DT CD M,NUM,3 5 3 5 6 6
各 類別 的 客戶 編號 平均 前 十 名,DT NN DEG NN NN AD DT CD M,NUM,3 1 0 1 2 3 5 6 6 
產品 的 數量 平均 前 十 名,NR DEG NR NN DT CD M,NUM,1 0 1 3 5 6 6 
布林 的 成本 和 利潤 平均 前 十 名,NN DEG NN CC NN NN DT CD M,NUM,1 0 1 3 1 3 5 6 6
城市 是 Oregon 國家 和 產品 的 特徵 欄位 平均 前 十 名,NN VC NR NN CC NR DEG NN NN NN DT CD M,NUM,1 3 5 1 3 1 0 1 2 3 5 6 6 
城市 不是 Oregon 國家 和 產品 的 成本 和 利潤 平均 前 十 名,NN VC NR NN CC NR DEG NN CC NN NN DT CD M,NUM,1 3 5 1 3 1 0 1 3 1 3 5 6 6 
城市 不是 Oregon 的 單位 價格 和 成本 和 利潤 平均 前 十 名,NN AD NN DEG NN NN CC NN CC NN NN DT CD M,NUM,1 3 5 0 1 2 3 1 3 1 3 5 6 6 
Clothing 平均 前 十 名,NR AD DT CD M,NUM,5 3 5 6 6 
特徵 欄位 比較,NN NN AD,ADV,1 2 7
Clothing 成本 和 利潤 比 較,NR NN CC NN P NR,PROPN,5 1 3 1 7 8
是 會員 單位 價格 和 成本 和 利潤 比 較,VC NN NN NN CC NN CC NN P NR,PROPN,5 1 2 2 3 1 3 1 7 8
