stamp,pattern,text,result,ok or not,column,comment,Operator,Others
mapping,,,,,,"{""O"":0, ""I-Column"": 1, ""B-Column"":2, ""I-Operation"":3, ""B-Operation"":4, ""I-Restriction"":5, ""B-Restriction"":6, ""I-Pattern"":7, ""B-Pattern"":8, ""I-Others"":9, ""B-Others"": 10}","{""和"": 0, ""各"":1, ""大於"": 2, ""等於"": 3, ""小於"": 4, ""不為"": 5,""不是"": 5, ""為"": 6, ""是"": 6, ""平均"": 7, ""數量"": 8}",
generic,1U + Aggr_count,客戶編號數量,bar,OK,客戶編號,1 2 2 2 3 4,,
generic,1F + 2V,城市不為Oregon成本和利潤,multi_y_bar,OK,城市 成本 利潤,1 2 3 4 5 1 2 3 1 2,0 5,
generic,3V,單位價格和成本和利潤,3hist,OK,單位價格 成本 利潤,1 2 2 2 5 1 2 3 1 2,0,
generic,1F + 1U,是會員客戶編號,table,OK,會員 客戶編號,5 1 2 1 2 2 2,,
generic,1C + 1U,各產品的客戶編號,table,OK,產品 客戶編號,3 1 2 0 1 2 2 2,1,
generic,1F + 1C + Aggr_count,Clothing事件的數量,bar,OK,事件,5 1 2 0 3 4,,
generic,1F + 1C + 2V,Clothing類別的成本和利潤,multi_y_bar,OK,成本 利潤,5 6 6 0 1 2 4 1 2,,
generic,1F + 2Cf + Aggr_count,城市為Oregon和US在Bikes和Clothing的數量,此搜尋條件並無對應資料,OK,城市,1 2 5 6 3 5 0 1 3 1 0 3 4,0,
generic,1F + 2C + 2V,單位價格大於等於500國家和產品的成本和利潤,h_bar,OK,單位價格 國家 產品 成本 利潤,1 2 2 2 3 4 3 4 5 1 2 3 1 2 0 1 2 3 1 2,2 3,
generic,3V,的單位價格和成本和利潤,3hist,OK,單位價格 成本 利潤,0 1 2 2 2 3 1 2 3 1 2,,
generic,1F,城市不是Oregon,bar,OK,城市,1 2 3 4 5,5,
generic,1F + 1V + Aggr,城市不為Oregon特徵欄位平均,bar,OK,城市 特徵欄位,1 2 3 4 5 1 2 2 2 3 4,5 7,
generic,1F + 2V + Aggr,單位成本小於500成本和利潤平均,multi_y_bar,OK,單位成本 成本 利潤,1 2 2 2 3 4 5 1 2 3 1 2 3 4,4 7,
generic,1F + 3V + Aggr,單位成本小於500單位價格和成本和利潤平均,table,OK,單位成本 單位價格 成本 利潤,1 2 2 2 3 4 5 1 2 2 2 3 1 2 3 1 2 3 4,4 7,
generic,1F + 1C + Aggr,Clothing類別平均,bar,OK,類別,3 1 2 3 4,7,
generic,1F + 1C + 1U + Aggr,城市為Oregon各布林的客戶編號平均,bar,OK,城市 布林 客戶編號,1 2 3 5 3 1 2 0 1 2 2 2 3 4,6 7,
generic,1F + 1Cf + Aggr_count + Aggr,城市不為Oregon是Washington的數量平均,bar,OK,城市,1 2 3 4 5 3 5 0 3 4 3 4,5 6 8 7,
generic,1Cf + 2V + Aggr,Washington和California的成本和利潤平均,multi_y_bar,OK,成本 利潤,5 3 5 0 1 2 3 1 2 3 4,0 7,
generic,1F + 1C + 1U + 1V + Aggr,城市為Oregon各事件的客戶編號的特徵欄位平均,multi_y_bar,OK,城市 事件 客戶編號 特徵欄位,1 2 3 5 3 1 2 0 1 2 2 2 0 1 2 2 2 3 4,1 6,
generic,1F + 1C + 1U + 2V + Aggr,城市為Oregon各產品的客戶編號的成本和利潤平均,table,OK,城市 產品 客戶編號 成本 利潤,1 2 3 5 3 1 2 0 1 2 2 2 0 1 2 3 1 2 3 4,,
generic,3V + Aggr,的單位價格和成本和利潤平均,bar,OK,單位價格 成本 利潤,0 1 2 2 2 3 1 2 3 1 2 3 4,,
generic,1F + Aggr,單位價格大於400平均,bar,OK,單位價格,1 2 2 2 3 4 5 1 2,,
generic,1U + Aggr_count + TopBtm,客戶編號數量前十名,bar,OK,客戶編號,1 2 2 2 3 4 5 6,,
generic,1F + 2V + TopBtm,城市不是Oregon成本和利潤前十名,h_bar,OK,城市 成本 利潤,1 2 3 4 5 1 2 3 1 2 5 6 6,,
